Monit_MAP_CODE1,Year,GARAGE_mean,BASEMENT_mean,OTHER_COOLING,UNKNOWN_COOLING,FORCED AIR_COOLING,N_COOLING,Y_COOLING,1 AC UNIT_COOLING,A/CON_COOLING,CENTRAL W/AIR COND_COOLING,1_COOLING,0_COOLING,CONDOMINIUM,UNKNOWN_DWELL_TYPE,OTHER_DWELL,SINGLE-FAMILY / OWNER OCCUPIED,TOWNHOUSE,S.FAM.RES
82008900-01,2012,0.7789685197588747,0.8526456798392499,0.0,0.14735432016075017,0.0,0.0006697923643670462,0.8519758874748827,0.0,0.0,0.0,0.0,0.0,0.144675150703282,0.14735432016075017,0.0,0.3034159410582719,0.4045545880776959,0.0
82008900-01,2014,0.755685510071475,0.8271604938271605,0.0,0.1728395061728395,0.0,0.000649772579597141,0.8265107212475633,0.0,0.0,0.0,0.0,0.0,0.14035087719298245,0.1728395061728395,0.0,0.29434697855750486,0.39246263807667314,0.0
82009002-01,2012,0.944078947368421,0.9444444444444444,0.0,0.05555555555555555,0.0,0.013888888888888888,0.9305555555555556,0.0,0.0,0.0,0.0,0.0,0.06286549707602339,0.05555555555555555,0.0007309941520467836,0.7880116959064327,0.09283625730994152,0.0
19034800-01,2010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026530612244897958,0.09387755102040816,0.0,0.3610544217687075,0.5185374149659864
27004201-01,2009,0.9139409797935747,0.03663323157435674,0.0,0.24872801279255705,0.7512719872074429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82008700-01,2012,0.8181818181818182,0.8275058275058275,0.0,0.17249417249417248,0.0,0.030303030303030304,0.7972027972027972,0.0,0.0,0.0,0.0,0.0,0.0,0.17249417249417248,0.0,0.7552447552447552,0.07226107226107226,0.0
82007700-01,2014,0.7653061224489796,0.7857142857142857,0.0,0.21428571428571427,0.0,0.20408163265306123,0.5816326530612245,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.7857142857142857,0.0,0.0
82009700-01,2010,0.8074553296364757,0.9091189155884165,0.0012322858903265558,0.1361675908810844,0.0,0.0,0.8619839802834257,0.0,0.0,0.0006161429451632779,0.0,0.0,0.0006161429451632779,0.09088108441158349,0.0061614294516327784,0.5899568699938386,0.3123844731977819,0.0
82009200-01,2014,0.7777777777777778,0.8389694041867954,0.0,0.1610305958132045,0.0,0.011272141706924315,0.8276972624798712,0.0,0.0,0.0,0.0,0.0,0.061191626409017714,0.1610305958132045,0.001610305958132045,0.6666666666666666,0.10950080515297907,0.0
82009700-01,2004,0.0,0.0018275967103259215,0.0012183978068839476,0.998172403289674,0.0,0.0,0.0,0.0,0.0006091989034419738,0.0,0.0,0.0,0.0,0.998172403289674,0.0018275967103259215,0.0,0.0,0.0
